| name                         | title                        | level | facing   | categories   | description                                                                                                                                                                                                                                                                              | detail                                                                                                                                                                                                                                            | remediation                                                                                      | metadata                                                                                                                                                                                                                                             | cache_key                                                                                                    |
| rls_policy_always_true       | RLS Policy Always True       | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.activity_participants` has an RLS policy `Service role can manage activity participants` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -. | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy        | {"name":"activity_participants","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":"true","policy_name":"Service role can manage activity participants","permissive_using":true,"permissive_with_check":true} | rls_policy_always_true_public_activity_participants_Service role can manage activity participants            |
| rls_policy_always_true       | RLS Policy Always True       | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.application_analysis` has an RLS policy `Service role can manage application analysis` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.   | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy        | {"name":"application_analysis","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":"true","policy_name":"Service role can manage application analysis","permissive_using":true,"permissive_with_check":true}   | rls_policy_always_true_public_application_analysis_Service role can manage application analysis              |
| rls_policy_always_true       | RLS Policy Always True       | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.applications` has an RLS policy `Service role can manage applications` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                   | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy        | {"name":"applications","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":"true","policy_name":"Service role can manage applications","permissive_using":true,"permissive_with_check":true}                   | rls_policy_always_true_public_applications_Service role can manage applications                              |
| rls_policy_always_true       | RLS Policy Always True       | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.audit_logs` has an RLS policy `Service role can manage audit logs` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                       | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy        | {"name":"audit_logs","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":"true","policy_name":"Service role can manage audit logs","permissive_using":true,"permissive_with_check":true}                       | rls_policy_always_true_public_audit_logs_Service role can manage audit logs                                  |
| rls_policy_always_true       | RLS Policy Always True       | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.chatbot_conversations` has an RLS policy `Service role can manage chatbot conversations` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -. | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy        | {"name":"chatbot_conversations","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":"true","policy_name":"Service role can manage chatbot conversations","permissive_using":true,"permissive_with_check":true} | rls_policy_always_true_public_chatbot_conversations_Service role can manage chatbot conversations            |
| rls_policy_always_true       | RLS Policy Always True       | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.club_recommendations` has an RLS policy `Service role can manage club recommendations` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.   | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy        | {"name":"club_recommendations","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":"true","policy_name":"Service role can manage club recommendations","permissive_using":true,"permissive_with_check":true}   | rls_policy_always_true_public_club_recommendations_Service role can manage club recommendations              |
| rls_policy_always_true       | RLS Policy Always True       | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.clubs` has an RLS policy `Service role can manage clubs` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                                 | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy        | {"name":"clubs","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":"true","policy_name":"Service role can manage clubs","permissive_using":true,"permissive_with_check":true}                                 | rls_policy_always_true_public_clubs_Service role can manage clubs                                            |
| rls_policy_always_true       | RLS Policy Always True       | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.coin_transactions` has an RLS policy `Service role can manage coin transactions` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.         | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy        | {"name":"coin_transactions","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":"true","policy_name":"Service role can manage coin transactions","permissive_using":true,"permissive_with_check":true}         | rls_policy_always_true_public_coin_transactions_Service role can manage coin transactions                    |
| rls_policy_always_true       | RLS Policy Always True       | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.password_resets` has an RLS policy `Service role can manage password resets` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.             | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy        | {"name":"password_resets","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":"true","policy_name":"Service role can manage password resets","permissive_using":true,"permissive_with_check":true}             | rls_policy_always_true_public_password_resets_Service role can manage password resets                        |
| rls_policy_always_true       | RLS Policy Always True       | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.pending_registrations` has an RLS policy `Anyone can create pending registration` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for -.              | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy        | {"name":"pending_registrations","qual":null,"type":"table","roles":["-"],"schema":"public","command":"INSERT","with_check":"true","policy_name":"Anyone can create pending registration","permissive_using":false,"permissive_with_check":true}      | rls_policy_always_true_public_pending_registrations_Anyone can create pending registration                   |
| rls_policy_always_true       | RLS Policy Always True       | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.pending_registrations` has an RLS policy `Service role can manage pending registrations` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -. | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy        | {"name":"pending_registrations","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":"true","policy_name":"Service role can manage pending registrations","permissive_using":true,"permissive_with_check":true} | rls_policy_always_true_public_pending_registrations_Service role can manage pending registrations            |
| rls_policy_always_true       | RLS Policy Always True       | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.predictive_analytics` has an RLS policy `Service role can manage predictive analytics` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.   | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy        | {"name":"predictive_analytics","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":"true","policy_name":"Service role can manage predictive analytics","permissive_using":true,"permissive_with_check":true}   | rls_policy_always_true_public_predictive_analytics_Service role can manage predictive analytics              |
| rls_policy_always_true       | RLS Policy Always True       | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.sessions` has an RLS policy `Service role can manage sessions` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                           | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy        | {"name":"sessions","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":"true","policy_name":"Service role can manage sessions","permissive_using":true,"permissive_with_check":true}                           | rls_policy_always_true_public_sessions_Service role can manage sessions                                      |
| rls_policy_always_true       | RLS Policy Always True       | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.user_coins` has an RLS policy `Service role can manage user coins` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                       | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy        | {"name":"user_coins","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":"true","policy_name":"Service role can manage user coins","permissive_using":true,"permissive_with_check":true}                       | rls_policy_always_true_public_user_coins_Service role can manage user coins                                  |
| rls_policy_always_true       | RLS Policy Always True       | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.users` has an RLS policy `Service role has full access to users` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                         | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy        | {"name":"users","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":"true","policy_name":"Service role has full access to users","permissive_using":true,"permissive_with_check":true}                         | rls_policy_always_true_public_users_Service role has full access to users                                    |
